date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:06	66/66	---M-Z	200	added ('OK')	text/plain	date:Mon,%2003%20Jun%202013%2007:39:09%20GMT	http://clinalpsud.fr/robots.txt		(from )
09:39:08	55368/55368	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:10%20GMT	http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/index1efe.html	(from )
09:39:08	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22129bae2-47e-4d0ac0a53f096%22	http://clinalpsud.fr/wp-content/themes/atahualpa/images/favicon/4-favicon.ico	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/themes/atahualpa/images/favicon/4-favicon.ico	(from )
09:39:09	42/42	---M-Z	200	added ('OK')	text/plain	date:Mon,%2003%20Jun%202013%2007:39:10%20GMT	http://clinalpsud.fr/xmlrpc.php	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/xmlrpc.php	(from )
09:39:09	786/786	---M--	200	added ('OK')	application/javascript	etag:%22f813e5-312-4ba2e6570dd00%22	http://clinalpsud.fr/wp-includes/js/comment-reply.js?ver=20090102	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-includes/js/comment-replya6d7.js	(from )
09:39:11	816/816	---M-Z	200	added ('OK')	text/xml	date:Mon,%2003%20Jun%202013%2007:39:12%20GMT	http://clinalpsud.fr/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/xmlrpc0db0.php	(from )
09:39:11	16853/16853	---M--	200	added ('OK')	application/javascript	etag:%22129bbe7-41d5-4d0ac0a6ce1b4%22	http://clinalpsud.fr/wp-content/themes/atahualpa/js/DD_roundies.js?ver=0.0.2a	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/themes/atahualpa/js/DD_roundies8182.js	(from )
09:39:11	1053/1053	---M--	200	added ('OK')	application/xml	etag:%22f81529-41d-4ba2e6570dd00%22	http://clinalpsud.fr/wp-includes/wlwmanifest.xml	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-includes/wlwmanifest.xml	(from )
09:39:12	911/911	---M-Z	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/comments/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comments/feed/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:12	296/296	---M--	200	added ('OK')	image/png	etag:%22129bb86-128-4d0ac0a632ed4%22	http://clinalpsud.fr/wp-content/themes/atahualpa/images/comment-gray.png	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/themes/atahualpa/images/comment-gray.png	(from )
